                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.59208,                 1.0748,                 1.0192,                0.77635,                0.67806,                0.76545,                0.69323,                0.45908,                0.90963,                0.92435,                0.00406,                0.00406,                0.00406
                     62,                0.58972,                 1.0538,                 1.0128,                0.77205,                0.67415,                0.76702,                0.69437,                0.45891,                0.90517,                0.92468,               0.003961,               0.003961,               0.003961
                     63,                0.58305,                 1.0456,                  1.012,                0.76149,                0.69346,                0.77031,                0.69806,                0.45422,                0.89455,                0.92317,               0.003862,               0.003862,               0.003862
                     64,                0.58251,                 1.0337,                 1.0128,                0.78699,                0.66731,                 0.7698,                0.69903,                 0.4549,                 0.8892,                0.92483,               0.003763,               0.003763,               0.003763
                     65,                0.57835,                  1.017,                 1.0097,                0.77137,                 0.6846,                0.76895,                0.69822,                 0.4545,                0.88159,                0.92489,               0.003664,               0.003664,               0.003664
                     66,                0.57852,                 1.0121,                 1.0114,                0.80873,                0.66127,                0.77572,                0.70336,                0.45374,                  0.873,                0.92229,               0.003565,               0.003565,               0.003565
                     67,                0.57394,                0.98131,                 1.0105,                0.81851,                0.67242,                0.77548,                0.70236,                0.45436,                0.86758,                0.92261,               0.003466,               0.003466,               0.003466
                     68,                0.56941,                0.98555,                 1.0082,                0.78548,                0.69764,                0.77929,                0.70496,                 0.4519,                0.86301,                0.92098,               0.003367,               0.003367,               0.003367
                     69,                0.55957,                0.96226,                 1.0013,                0.79607,                0.69703,                0.78212,                0.70983,                0.45072,                0.85847,                0.92008,               0.003268,               0.003268,               0.003268
                     70,                0.56002,                 0.9523,                  1.001,                0.79585,                0.69768,                0.78293,                0.71288,                0.45069,                0.85404,                0.91951,               0.003169,               0.003169,               0.003169
                     71,                0.55192,                0.92907,                0.99798,                0.81514,                0.68817,                0.78173,                0.71228,                0.44974,                0.85206,                0.91936,                0.00307,                0.00307,                0.00307
                     72,                0.55754,                0.91958,                 1.0011,                0.81974,                0.68343,                0.78254,                0.71232,                0.45059,                0.85194,                0.92084,               0.002971,               0.002971,               0.002971
                     73,                0.54755,                0.91025,                0.99452,                0.82916,                0.67907,                0.78397,                0.71394,                0.44987,                0.84793,                0.92067,               0.002872,               0.002872,               0.002872
                     74,                0.54398,                0.89175,                0.99384,                0.82572,                0.67831,                0.78611,                0.71649,                0.44965,                0.84248,                0.92085,               0.002773,               0.002773,               0.002773
                     75,                 0.5453,                0.88886,                 0.9947,                0.81241,                0.69233,                 0.7889,                0.71867,                0.44901,                0.83563,                0.91968,               0.002674,               0.002674,               0.002674
                     76,                0.53987,                0.87375,                0.99004,                0.80178,                0.70265,                0.78907,                0.71976,                0.44773,                0.83436,                0.91913,               0.002575,               0.002575,               0.002575
                     77,                0.53766,                0.86786,                0.99078,                0.78388,                0.71225,                0.78907,                0.72003,                0.44698,                0.83099,                0.91908,               0.002476,               0.002476,               0.002476
                     78,                0.52875,                0.84957,                0.98408,                0.77931,                0.71995,                0.79285,                0.72424,                0.44605,                0.82783,                0.91855,               0.002377,               0.002377,               0.002377
                     79,                0.52791,                0.83862,                0.98555,                0.78538,                0.71754,                0.79341,                0.72527,                 0.4459,                0.82412,                0.91939,               0.002278,               0.002278,               0.002278
                     80,                0.52612,                0.83163,                0.98544,                0.78042,                0.72189,                0.79379,                0.72505,                0.44603,                0.82299,                0.92005,               0.002179,               0.002179,               0.002179
                     81,                0.52575,                0.81906,                0.98681,                0.81137,                0.69595,                 0.7935,                0.72475,                0.44602,                0.82191,                0.92057,                0.00208,                0.00208,                0.00208
                     82,                  0.516,                0.80675,                0.98085,                 0.8069,                0.70914,                0.79433,                0.72568,                0.44514,                0.82012,                0.92032,               0.001981,               0.001981,               0.001981
                     83,                0.51785,                0.80261,                0.98059,                0.81441,                0.70771,                 0.7957,                  0.727,                0.44395,                0.81889,                 0.9199,               0.001882,               0.001882,               0.001882
                     84,                0.51403,                0.79163,                0.97858,                0.80056,                0.72168,                0.79633,                0.72763,                 0.4432,                 0.8183,                0.91957,               0.001783,               0.001783,               0.001783
                     85,                  0.507,                0.77294,                0.97375,                0.80684,                 0.7233,                0.79665,                0.72759,                0.44235,                0.81792,                0.91933,               0.001684,               0.001684,               0.001684
                     86,                0.50495,                0.76407,                0.97276,                0.80827,                0.71969,                0.79666,                0.72792,                0.44262,                 0.8164,                0.91913,               0.001585,               0.001585,               0.001585
                     87,                 0.5003,                0.75774,                0.97064,                0.80946,                0.72099,                0.79716,                0.72733,                0.44272,                0.81688,                0.91899,               0.001486,               0.001486,               0.001486
                     88,                0.49788,                0.75602,                0.97323,                0.80525,                0.72521,                 0.7975,                0.72791,                0.44229,                0.81588,                0.91853,               0.001387,               0.001387,               0.001387
                     89,                0.50298,                0.75157,                0.97364,                0.80406,                0.72756,                0.79706,                0.72753,                0.44165,                 0.8156,                0.91811,               0.001288,               0.001288,               0.001288
                     90,                0.49368,                0.74463,                0.96904,                0.80471,                 0.7284,                0.79736,                0.72825,                0.44148,                0.81528,                0.91795,               0.001189,               0.001189,               0.001189
                     91,                0.35008,                0.39033,                0.88058,                0.81083,                0.72397,                0.79821,                 0.7303,                   0.44,                0.81341,                0.91785,                0.00109,                0.00109,                0.00109
                     92,                0.34307,                0.37618,                 0.8774,                0.80769,                0.72548,                0.79848,                0.73081,                0.43897,                0.81245,                0.91773,               0.000991,               0.000991,               0.000991
